student_id,student_name,email,assessment_number,score
1000,Abdula Murphy,student1000@mumail.ie,11,31.13
1001,Ben Murphy,student1001@mumail.ie,11,63.77
1002,Megan McCarthy,student1002@mumail.ie,11,54.22
1003,Darragh McCarthy,student1003@mumail.ie,11,50.19
1004,Megan Sheehan,student1004@mumail.ie,11,51.22
1005,Darragh Kennedy,student1005@mumail.ie,11,76.41
1006,Kate Doyle,student1006@mumail.ie,11,56.22
1007,Aaron Sheehan,student1007@mumail.ie,11,58.99
1008,Michael Ryan,student1008@mumail.ie,11,80.08
1009,Ciara Byrne,student1009@mumail.ie,11,82.59
1010,Aaron Boyle,student1010@mumail.ie,11,95.93
1011,Kate Kelly,student1011@mumail.ie,11,49.89
1012,Adam McMahon,student1012@mumail.ie,11,64.06
1013,Ben Kelly,student1013@mumail.ie,11,70.53
1014,Ciara Quinn,student1014@mumail.ie,11,62.62
1015,Ciara Sheehan,student1015@mumail.ie,11,75.44
1016,Kate Walsh,student1016@mumail.ie,11,56.49
1017,Megan Doyle,student1017@mumail.ie,11,68.16
1018,Darragh Walsh,student1018@mumail.ie,11,84.42
1019,Abdula McMahon,student1019@mumail.ie,11,50.84
1020,Darragh Ryan,student1020@mumail.ie,11,61.4
1021,Alex McMahon,student1021@mumail.ie,11,64.57
1022,Adam Moran,student1022@mumail.ie,11,80.96
1023,Abdula Boyle,student1023@mumail.ie,11,60.65
1024,Megan Doyle,student1024@mumail.ie,11,62.11
1025,Darragh Doyle,student1025@mumail.ie,11,59.84
1026,Darragh Moran,student1026@mumail.ie,11,57.09
1027,Aaron Kelly,student1027@mumail.ie,11,48.45
1028,Michael Walsh,student1028@mumail.ie,11,45.47
1029,Abdula Murphy,student1029@mumail.ie,11,0.0
1030,Abdula Murphy,student1030@mumail.ie,11,80.3
1031,Leo Quinn,student1031@mumail.ie,11,47.07
1032,Ciara Boyle,student1032@mumail.ie,11,81.68
1033,Aaliyah Doyle,student1033@mumail.ie,11,70.98
1034,Killian Kennedy,student1034@mumail.ie,11,65.23
1035,Aaron McMahon,student1035@mumail.ie,11,50.89
1036,Aaron McCarthy,student1036@mumail.ie,11,42.41
1037,Adam Sheehan,student1037@mumail.ie,11,68.67
1038,Adam Byrne,student1038@mumail.ie,11,67.49
1039,Aaron Walsh,student1039@mumail.ie,11,41.27
1040,Ciara Doyle,student1040@mumail.ie,11,61.75
1041,Megan Boyle,student1041@mumail.ie,11,60.99
1042,Adam Quinn,student1042@mumail.ie,11,0.0
1043,Ciara Murphy,student1043@mumail.ie,11,0.0
1044,Aaron Smith,student1044@mumail.ie,11,64.07
1045,Megan Sheehan,student1045@mumail.ie,11,95.9
1046,Ben Quinn,student1046@mumail.ie,11,73.06
1047,Megan Boyle,student1047@mumail.ie,11,0.0
1048,Aaron Walsh,student1048@mumail.ie,11,69.02
1049,Aaron McCarthy,student1049@mumail.ie,11,70.7
1050,Megan Doyle,student1050@mumail.ie,11,68.63
1051,Conor McCarthy,student1051@mumail.ie,11,88.24
1052,Killian Sheehan,student1052@mumail.ie,11,80.41
1053,Kate Moran,student1053@mumail.ie,11,0.0
1054,Conor Sheehan,student1054@mumail.ie,11,76.92
1055,Aaliyah McCarthy,student1055@mumail.ie,11,83.29
1056,Killian McCarthy,student1056@mumail.ie,11,73.15
1057,Michael McMahon,student1057@mumail.ie,11,39.86
1058,Darragh Doyle,student1058@mumail.ie,11,66.61
1059,Leo Ryan,student1059@mumail.ie,11,27.73
1060,Alex McMahon,student1060@mumail.ie,11,77.25
1061,Darragh McMahon,student1061@mumail.ie,11,0.0
1062,Leo McCarthy,student1062@mumail.ie,11,61.67
1063,Michael Sheehan,student1063@mumail.ie,11,58.76
1064,Kate Quinn,student1064@mumail.ie,11,49.63
1065,Alex Byrne,student1065@mumail.ie,11,80.24
1066,Michael Sheehan,student1066@mumail.ie,11,60.81
1067,Megan Quinn,student1067@mumail.ie,11,74.53
1068,Megan Smith,student1068@mumail.ie,11,65.78
1069,Ciara Kelly,student1069@mumail.ie,11,0.0
1070,Conor Walsh,student1070@mumail.ie,11,63.14
1071,Darragh Murphy,student1071@mumail.ie,11,63.7
1072,Aaliyah Sheehan,student1072@mumail.ie,11,73.99
1073,Alex Doyle,student1073@mumail.ie,11,41.16
1074,Killian Walsh,student1074@mumail.ie,11,0.0
1075,Aaron Walsh,student1075@mumail.ie,11,0.0
1076,Michael Sheehan,student1076@mumail.ie,11,0.0
1077,Adam Smith,student1077@mumail.ie,11,64.94
1078,Megan Walsh,student1078@mumail.ie,11,50.75
1079,Adam Quinn,student1079@mumail.ie,11,48.87
1080,Leo McMahon,student1080@mumail.ie,11,53.37
1081,Conor Kennedy,student1081@mumail.ie,11,0.0
1082,Darragh Kelly,student1082@mumail.ie,11,52.09
1083,Adam Doyle,student1083@mumail.ie,11,80.57
1084,Megan Ryan,student1084@mumail.ie,11,77.39
1085,Megan Kelly,student1085@mumail.ie,11,0.0
1086,Aaliyah Murphy,student1086@mumail.ie,11,66.78
1087,Megan McCarthy,student1087@mumail.ie,11,77.3
1088,Michael Kennedy,student1088@mumail.ie,11,65.23
1089,Aaron McCarthy,student1089@mumail.ie,11,61.59
1090,Darragh Ryan,student1090@mumail.ie,11,74.65
1091,Conor Doyle,student1091@mumail.ie,11,63.67
