Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester
11420638,100.0,1,0,34.0,0.1
11421783,100.0,1,0,58.0,0.1
11491720,100.0,1,0,57.0,0.1
11632500,100.0,1,0,35.0,0.1
11714946,100.0,1,0,57.0,0.1
11796307,100.0,1,0,27.0,0.1
11869975,100.0,1,0,38.0,0.1
12245025,0.0,0,0,74.0,0.1
12297298,33.0,1,0,60.0,0.1
12602585,100.0,1,0,44.0,0.1
12666133,100.0,1,0,75.0,0.1
12695347,100.0,1,0,59.0,0.1
12705744,63.0,1,0,92.0,0.1
12778025,100.0,1,0,92.0,0.1
13081326,100.0,1,0,30.0,0.1
13081604,100.0,1,0,83.0,0.1
13178635,100.0,1,0,58.0,0.1
13204098,100.0,1,0,55.0,0.1
13225878,0.0,0,0,95.0,0.1
13255332,100.0,1,0,31.0,0.1
13368222,100.0,1,0,33.0,0.1
14122630,100.0,1,0,10.0,0.1
14404536,100.0,1,0,87.0,0.1
14441507,100.0,1,0,85.0,0.1
14599999,100.0,1,0,35.0,0.1
14602314,23.0,1,0,52.0,0.1
14923953,100.0,1,0,46.0,0.1
15291174,100.0,1,0,47.0,0.1
15556025,100.0,1,0,49.0,0.1
15788476,100.0,1,0,95.0,0.1
15820378,50.0,1,0,77.0,0.1
15903250,90.0,1,0,81.0,0.1
15971844,100.0,1,0,90.0,0.1
16041091,97.0,1,0,88.0,0.1
16075227,100.0,1,0,72.0,0.1
16512856,100.0,1,0,65.0,0.1
16561220,100.0,1,0,48.0,0.1
16632344,100.0,1,0,48.0,0.1
16784965,100.0,1,0,56.0,0.1
16937997,100.0,1,0,92.0,0.1
16976042,0.0,0,0,100.0,0.1
17843517,100.0,1,0,22.0,0.1
17994012,100.0,1,0,97.0,0.1
18084843,100.0,1,0,40.0,0.1
18146898,100.0,1,0,56.0,0.1
18320641,100.0,1,0,46.0,0.1
18622841,100.0,1,0,47.0,0.1
18655362,50.0,1,0,83.0,0.1
18860225,100.0,1,0,92.0,0.1
18954283,100.0,1,0,100.0,0.1
19054836,100.0,1,0,9.0,0.1
19481418,88.0,1,0,39.0,0.1
19591094,100.0,1,0,67.0,0.1
19625520,0.0,0,0,61.0,0.1
19712866,100.0,1,0,81.0,0.1
20031205,100.0,1,0,68.0,0.1
20171158,75.0,1,0,7.0,0.1
20301462,100.0,1,0,62.0,0.1
20559426,100.0,1,0,40.0,0.1
20780848,100.0,1,0,56.0,0.1
20862071,0.0,0,0,100.0,0.1
21034479,99.0,1,0,94.0,0.1
21234480,100.0,1,0,55.0,0.1
21446564,100.0,1,0,31.0,0.1
21521372,100.0,1,0,76.0,0.1
21659832,75.0,1,0,100.0,0.1
21690717,100.0,1,0,86.0,0.1
21794966,100.0,1,0,91.0,0.1
21876640,100.0,1,0,20.0,0.1
22057932,100.0,1,0,100.0,0.1
22160502,100.0,1,0,47.0,0.1
22230983,0.0,0,0,100.0,0.1
22917914,100.0,1,0,54.0,0.1
22979091,100.0,1,0,42.0,0.1
23026814,100.0,1,0,50.0,0.1
23044106,100.0,1,0,32.0,0.1
23052040,100.0,1,0,56.0,0.1
23095199,75.0,1,0,93.0,0.1
23097995,100.0,1,0,81.0,0.1
23160832,100.0,1,0,14.0,0.1
23552581,100.0,1,0,10.0,0.1
23573814,100.0,1,0,17.0,0.1
23592772,100.0,1,0,67.0,0.1
23627697,100.0,1,0,59.0,0.1
23698854,100.0,1,0,83.0,0.1
23832963,50.0,1,0,38.0,0.1
23887541,98.0,1,0,71.0,0.1
24247085,50.0,1,0,73.0,0.1
24253453,100.0,1,0,65.0,0.1
24536040,100.0,1,0,43.0,0.1
24606796,100.0,1,0,72.0,0.1
25035815,88.0,1,0,95.0,0.1
25548498,15.0,1,0,47.0,0.1
25606794,100.0,1,0,31.0,0.1
25665116,100.0,1,0,90.0,0.1
25763040,0.0,0,0,83.0,0.1
25784365,100.0,1,0,57.0,0.1
26045306,100.0,1,0,19.0,0.1
26468524,0.0,0,0,100.0,0.1
26663051,92.0,1,0,56.0,0.1
26749984,100.0,1,0,45.0,0.1
26755574,100.0,1,0,47.0,0.1
26768543,100.0,1,0,81.0,0.1
26845979,88.0,1,0,64.0,0.1
26864928,61.0,1,0,29.0,0.1
26995120,100.0,1,0,70.0,0.1
27242439,50.0,1,0,87.0,0.1
27436475,100.0,1,0,62.0,0.1
27497114,100.0,1,0,37.0,0.1
27848865,49.0,1,0,30.0,0.1
28015313,100.0,1,0,46.0,0.1
28128104,100.0,1,0,57.0,0.1
28229498,100.0,1,0,8.0,0.1
28280627,98.0,1,0,82.0,0.1
28549588,100.0,1,0,18.0,0.1
28877215,0.0,0,0,100.0,0.1
28907396,100.0,1,0,84.0,0.1
29148703,100.0,1,0,17.0,0.1
29461485,100.0,1,0,45.0,0.1
29810033,100.0,1,0,63.0,0.1
29831344,38.0,1,0,69.0,0.1
30262825,100.0,1,0,16.0,0.1
30295750,100.0,1,0,90.0,0.1
30370698,0.0,0,0,100.0,0.1
30835002,50.0,1,0,100.0,0.1
30895879,100.0,1,0,72.0,0.1
30995666,100.0,1,0,94.0,0.1
