student_id,student_name,email,assessment_number,score
1000,Abdula Murphy,student1000@mumail.ie,8,70.97
1001,Ben Murphy,student1001@mumail.ie,8,72.84
1002,Megan McCarthy,student1002@mumail.ie,8,66.25
1003,Darragh McCarthy,student1003@mumail.ie,8,88.47
1004,Megan Sheehan,student1004@mumail.ie,8,80.91
1005,Darragh Kennedy,student1005@mumail.ie,8,50.92
1006,Kate Doyle,student1006@mumail.ie,8,0.0
1007,Aaron Sheehan,student1007@mumail.ie,8,67.15
1008,Michael Ryan,student1008@mumail.ie,8,0.0
1009,Ciara Byrne,student1009@mumail.ie,8,53.17
1010,Aaron Boyle,student1010@mumail.ie,8,73.01
1011,Kate Kelly,student1011@mumail.ie,8,0.0
1012,Adam McMahon,student1012@mumail.ie,8,30.96
1013,Ben Kelly,student1013@mumail.ie,8,51.9
1014,Ciara Quinn,student1014@mumail.ie,8,42.57
1015,Ciara Sheehan,student1015@mumail.ie,8,80.92
1016,Kate Walsh,student1016@mumail.ie,8,83.81
1017,Megan Doyle,student1017@mumail.ie,8,93.97
1018,Darragh Walsh,student1018@mumail.ie,8,73.93
1019,Abdula McMahon,student1019@mumail.ie,8,0.0
1020,Darragh Ryan,student1020@mumail.ie,8,68.29
1021,Alex McMahon,student1021@mumail.ie,8,63.52
1022,Adam Moran,student1022@mumail.ie,8,44.39
1023,Abdula Boyle,student1023@mumail.ie,8,37.67
1024,Megan Doyle,student1024@mumail.ie,8,57.47
1025,Darragh Doyle,student1025@mumail.ie,8,48.87
1026,Darragh Moran,student1026@mumail.ie,8,82.02
1027,Aaron Kelly,student1027@mumail.ie,8,85.19
1028,Michael Walsh,student1028@mumail.ie,8,100.0
1029,Abdula Murphy,student1029@mumail.ie,8,80.21
1030,Abdula Murphy,student1030@mumail.ie,8,86.42
1031,Leo Quinn,student1031@mumail.ie,8,86.4
1032,Ciara Boyle,student1032@mumail.ie,8,65.02
1033,Aaliyah Doyle,student1033@mumail.ie,8,53.26
1034,Killian Kennedy,student1034@mumail.ie,8,49.7
1035,Aaron McMahon,student1035@mumail.ie,8,67.48
1036,Aaron McCarthy,student1036@mumail.ie,8,70.58
1037,Adam Sheehan,student1037@mumail.ie,8,74.47
1038,Adam Byrne,student1038@mumail.ie,8,52.09
1039,Aaron Walsh,student1039@mumail.ie,8,79.83
1040,Ciara Doyle,student1040@mumail.ie,8,64.66
1041,Megan Boyle,student1041@mumail.ie,8,32.71
1042,Adam Quinn,student1042@mumail.ie,8,69.96
1043,Ciara Murphy,student1043@mumail.ie,8,52.84
1044,Aaron Smith,student1044@mumail.ie,8,78.41
1045,Megan Sheehan,student1045@mumail.ie,8,61.04
1046,Ben Quinn,student1046@mumail.ie,8,79.3
1047,Megan Boyle,student1047@mumail.ie,8,56.72
1048,Aaron Walsh,student1048@mumail.ie,8,60.98
1049,Aaron McCarthy,student1049@mumail.ie,8,0.0
1050,Megan Doyle,student1050@mumail.ie,8,92.63
1051,Conor McCarthy,student1051@mumail.ie,8,87.57
1052,Killian Sheehan,student1052@mumail.ie,8,58.63
1053,Kate Moran,student1053@mumail.ie,8,60.78
1054,Conor Sheehan,student1054@mumail.ie,8,70.45
1055,Aaliyah McCarthy,student1055@mumail.ie,8,0.0
1056,Killian McCarthy,student1056@mumail.ie,8,58.74
1057,Michael McMahon,student1057@mumail.ie,8,76.3
1058,Darragh Doyle,student1058@mumail.ie,8,70.29
1059,Leo Ryan,student1059@mumail.ie,8,68.37
1060,Alex McMahon,student1060@mumail.ie,8,0.0
1061,Darragh McMahon,student1061@mumail.ie,8,61.65
1062,Leo McCarthy,student1062@mumail.ie,8,68.18
1063,Michael Sheehan,student1063@mumail.ie,8,70.59
1064,Kate Quinn,student1064@mumail.ie,8,66.46
